Région,AE,CAP,Cercle,Commune,NOM_ETABLISSEMENT,Localites,X,Y,CODE_ETABLISSEMENT,Localisation,CYCLE,STATUT,PRESENCE_RESTAURANT,PRESENCE_LATRINES,LATRINES_FILLES_SEPAREES,NOMBRE_LATRINES,EAU_POTABLE,GARCONS,FILLES,TOTAL,NBRE ENSEIGNANTS
MOPTI,MOPTI,DJENNE,DJENNE,COMMUNE DE DJENNE,KERA,,-4.45480,13.91734,1054139,A localiser,1er cycle,Public,1,1,0,6,5) pas de point d'eau,36,47,83,1
MOPTI,MOPTI,TENENKOU,TENENKOU,DIAKA,KERA,,-4.99896,14.22222,762031,,1er cycle,Public,1,1,0,6,2) forage fonctionnel,48,52,100,3
MOPTI,DOUENTZA,BANKASS,BANKASS,BAYE,KERE -KERE,Kerekere,-3.375,13.76,11024346,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,22,33,55,1
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,KERENA,KERENA,Kerena,-2.687,15.03,721051,,1er cycle,Public,1,1,0,4,5) pas de point d'eau,46,47,93,3
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,DANGOL-BORE,KERENGO,Kerengo,-3.673,15.2,11024873,,1er cycle,Public,0,0,,,5) pas de point d'eau,14,27,41,1
MOPTI,DOUENTZA,KORO,KORO,DOUGOUTENE II,KEROU,Kerou,-3.441,14.06,1058169,,1er cycle,Communautaire,0,1,0,3,5) pas de point d'eau,27,48,75,1
MOPTI,DOUENTZA,BANKASS,BANKASS,OUENKORO,KIENOU,Kienou,-3.635,13.41,709046,,1er cycle,Public,0,1,1,6,3) puits non tarrissable,45,52,97,2
MOPTI,MOPTI,TENENKOU,TENENKOU,OURO ARDO,KIGNEY,,-4.84553,14.45566,762017,,1er cycle,Public,0,1,1,7,2) forage fonctionnel,69,63,132,3
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,GANDAMIA,KIKARA,Kikara,-2.751,15.21,721014,,1er cycle,Public,1,1,0,3,3) puits non tarrissable,93,104,197,4
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,GANDAMIA,KIKARA SECOND CYCLE,Kikara,-2.751,15.21,11024881,,2ème cycle,Public,0,0,,,5) pas de point d'eau,21,40,61,3
MOPTI,DOUENTZA,BANKASS,BANKASS,LESSAGOU HABE,KIKILE,Kikile,-3.636,13.8,1057142,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,37,30,67,1
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,DIAMNATI,KILEGOU,Kilegou,-3.194,14.76,708081,,1er cycle,Public,0,1,0,3,5) pas de point d'eau,179,131,310,2
MOPTI,DOUENTZA,KORO,KORO,KASSA,KILIMBA,Kilimba,-3.018,14.74,741076,,1er cycle,Public,0,1,0,6,5) pas de point d'eau,59,57,116,3
MOPTI,DOUENTZA,KORO,KORO,YORO,KINDI,Kindi,-2.165,14.22,11025424,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,33,27,60,1
MOPTI,DOUENTZA,KORO,KORO,KORO,KINI-OURODOUROU,Kini Ourodourou,-3.089,13.96,741009,,1er cycle,Public,0,1,1,4,3) puits non tarrissable,136,100,236,3
MOPTI,MOPTI,TENENKOU,TENENKOU,DIONDIORI,KINTA-FULBE,Kinta-Foulbe,-4.814,14.62,11022654,,1er cycle,Public,0,0,,,3) puits non tarrissable,29,44,73,1
MOPTI,DOUENTZA,KORO,KORO,KORO,KIRI,,-3.02521,13.97042,741008,,1er cycle,Public,1,1,0,3,5) pas de point d'eau,102,114,216,5
MOPTI,DOUENTZA,KORO,KORO,KORO,KIRI II,,-3.02521,13.97042,1058140,,2ème cycle,Public,1,1,0,3,5) pas de point d'eau,195,140,335,5
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,DANGOL-BORE,KIRO,Kiro,-3.365,15.05,721006,,1er cycle,Public,1,1,0,2,5) pas de point d'eau,79,109,188,4
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,HOMBORI,KISSIM,Kissim,-1.722,15.24,11024884,,1er cycle,Public,0,0,,,3) puits non tarrissable,47,61,108,1
MOPTI,MOPTI,TENENKOU,TENENKOU,KARERI,KITA,Kita I,-5.047,15.12,762014,,1er cycle,Public,0,1,0,25,3) puits non tarrissable,17,8,25,5
MOPTI,MOPTI,DJENNE,DJENNE,KEWA,KOA,Koa,-3.627,15.58,720013,,1er cycle,Public,1,1,0,3,5) pas de point d'eau,129,114,243,2
MOPTI,DOUENTZA,KORO,KORO,DINANGOUROU,KOBA,,-2.39878,14.55232,741071,,1er cycle,Communautaire,0,1,0,3,5) pas de point d'eau,36,25,61,3
MOPTI,MOPTI,DJENNE,DJENNE,PONDORI,KOBASSA,Kobassa,-4.611,13.8,720021,,1er cycle,Public,1,1,1,4,3) puits non tarrissable,115,118,233,3
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,MONDORO,KOBOU,,-1.691839,15.12163,721036,,1er cycle,Communautaire,1,1,0,4,1) robinet ,30,42,72,1
MOPTI,MOPTI,TENENKOU,TENENKOU,DIAKA,KODAGA,Ko-Daga,-5.019,14.19,11061446,,1er cycle,Public,0,0,,,5) pas de point d'eau,11,13,24,1
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,PIGNARI,KOE LEYE,Koe-Leye,-4.052,14.21,975648,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,13,21,34,1
MOPTI,DOUENTZA,BANKASS,BANKASS,SEGUE,KOGO,Kogo,-3.782,13.89,1008010,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,53,45,98,2
MOPTI,MOPTI,DJENNE,DJENNE,DERRARY,KOÏNA,Koina,-4.4908688,14.0422583,720003,,1er cycle,Public,1,1,0,2,5) pas de point d'eau,83,98,181,4
MOPTI,MOPTI,YOUVAROU,YOUWAROU,YOUWAROU,KOÏRA 1°C,Koira,-4.3870539,15.6561920,770033,,1er cycle,Public,1,1,1,4,5) pas de point d'eau,63,90,153,6
MOPTI,DOUENTZA,DOUENTZA,DOUENTZA,KOUBEWEL KOUNDIA,KOÏRA BERI,Koira Beri,-3.193,15.05,721024,,1er cycle,Communautaire,1,1,1,6,5) pas de point d'eau,58,51,109,3
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,SOROLY,KOKOLO,,-3.53947,14.41002,708064,,1er cycle,Public,1,1,0,2,5) pas de point d'eau,73,110,183,7
MOPTI,MOPTI,TENENKOU,TENENKOU,KARERI,KOLAL,,-5.17883,14.93997,1055634,,1er cycle,Public,0,0,,,2) forage fonctionnel,30,33,63,1
MOPTI,MOPTI,MOPTI,MOPTI,SIO,KOLONI 2°C,Koloni,-4.1422763,14.2845020,11021579,,2ème cycle,Public,0,0,,,5) pas de point d'eau,29,28,57,3
MOPTI,DOUENTZA,BANKASS,BANKASS,SOKOURA,KOLONKAN-MARKA,Kolanka-Marka,-3.716,13.55,709063,,1er cycle,Public,1,1,0,3,5) pas de point d'eau,127,207,334,3
MOPTI,MOPTI,DJENNE,DJENNE,FAKALA,KOMBAKA,Kombaka,-4.238,13.96,941747,,1er cycle,Public,1,1,1,1,2) forage fonctionnel,61,58,119,3
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,DOUROU,KOMBO-KANI,Kombokani,-3.376,14.35,708026,,1er cycle,Public,1,1,0,4,5) pas de point d'eau,94,106,200,3
MOPTI,MOPTI,SEVARE,MOPTI,BORONDOUGOU,KOMIO,Komio,-4.081,14.75,759034,,1er cycle,Public,1,0,,,3) puits non tarrissable,52,51,103,4
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,BARASSARA,KOMO,Komo,,,941850,A localiser,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,44,36,80,3
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,WADOUBA,KOMONI - NEMA,Komo Nema,-3.508,14.57,11023771,,1er cycle,Public,1,0,,,5) pas de point d'eau,27,42,69,2
MOPTI,MOPTI,TENENKOU,TENENKOU,SOUGOULBE,KONA MALI,Kona-Mali,-4.93,14.48,762022,,1er cycle,Public,1,0,,,5) pas de point d'eau,58,33,91,3
MOPTI,DOUENTZA,BANKASS,BANKASS,KOULOGON HABE,KONAN,Kona,-3.5323684,13.9543115,1008032,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,22,23,45,1
MOPTI,MOPTI,TENENKOU,TENENKOU,OURO ARDO,KONDO,,-4.85288,14.54208,762018,,1er cycle,Public,1,0,,,5) pas de point d'eau,30,37,67,3
MOPTI,MOPTI,TENENKOU,TENENKOU,KARERI,KONIBABOUGOU,Konimbabougou,-5.2304145,14.7817976,1055642,,1er cycle,Public,1,0,,,5) pas de point d'eau,59,54,113,2
MOPTI,MOPTI,DJENNE,DJENNE,DANDOUGOU FAKALA,KONIO 2°C,Konio Marka,-4.47,13.67,11059950,,2ème cycle,Public,1,1,1,11,5) pas de point d'eau,124,69,193,6
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KONNA 1°C A,Konna,-3.8921628,14.9435952,759009,,1er cycle,Public,0,1,0,2,5) pas de point d'eau,183,128,311,6
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KONNA 1°C B,Konna,-3.8921628,14.9435952,759008,,1er cycle,Public,0,1,1,10,3) puits non tarrissable,421,312,733,11
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KONNA 2°C I,Konna,-3.8921628,14.9435952,759016,,2ème cycle,Public,0,1,0,4,5) pas de point d'eau,128,86,214,9
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KONNA 2°C II,Konna,-3.8921628,14.9435952,11022107,,2ème cycle,Public,0,1,0,2,5) pas de point d'eau,61,91,152,7
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KONNA C ,Konna,-3.8921628,14.9435952,961775,,1er cycle,Public,0,1,1,6,5) pas de point d'eau,178,121,299,7
MOPTI,DOUENTZA,KORO,KORO,KASSA,KONO-NÂ,Kononah,-3.035,14.79,741108,,1er cycle,Public,0,1,0,3,5) pas de point d'eau,103,59,162,4
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,DOUROU,KONSAGOU DÔ,Konsagou So,-3.463,14.28,1008020,,1er cycle,Public,0,0,,,5) pas de point d'eau,84,95,179,2
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,DOUROU,KONSOGOU - LEYE,Konsagou Leye,-3.456,14.27,1008021,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,27,33,60,3
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KONTZA  KADIAL,Kontza-Bozo,-3.877,15.06,11022106,,1er cycle,Public,1,0,,,5) pas de point d'eau,37,46,83,1
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KONTZA 1er C,Kontza-Bozo,-3.877,15.06,759010,,1er cycle,Public,1,1,1,5,3) puits non tarrissable,147,172,319,5
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KONTZA 2°C,Kontza-Bozo,-3.877,15.06,959385,,2ème cycle,Public,1,0,,,5) pas de point d'eau,25,21,46,6
MOPTI,DOUENTZA,KORO,KORO,KOPORO PEN,KOPORO PEN I B,Koporo Pen,-3.301,14.22,11025452,,1er cycle,Public,0,1,0,4,2) forage fonctionnel,211,261,472,6
MOPTI,DOUENTZA,KORO,KORO,KOPOROKENDIE NA,KOPORO-NA I,Koporo Na,-3.358,14.13,741043,,1er cycle,Public,1,1,1,7,2) forage fonctionnel,124,176,300,7
MOPTI,DOUENTZA,KORO,KORO,KOPOROKENDIE NA,KOPORO-NA II,Koporo Na,-3.358,14.13,942055,,2ème cycle,Public,1,1,1,12,5) pas de point d'eau,135,97,232,5
MOPTI,DOUENTZA,KORO,KORO,KOPORO PEN,KOPORO-PEN 1ER CYCLE A,Koporo Pen,-3.301,14.22,741047,,1er cycle,Public,0,1,0,7,5) pas de point d'eau,249,257,506,7
MOPTI,DOUENTZA,KORO,KORO,KOPORO PEN,KOPORO-PEN 2 EME CYCLE,Koporo Pen,-3.301,14.22,741061,,2ème cycle,Public,0,1,1,7,4) puits tarrissable,455,332,787,6
MOPTI,DOUENTZA,KORO,KORO,KOPORO PEN,KOPORO-PEN MED,Koporo Pen,-3.301,14.22,11025443,,1er cycle,Medersa,0,0,,,5) pas de point d'eau,16,5,21,1
MOPTI,MOPTI,TENENKOU,TENENKOU,SOUGOULBE,KORA,Kora,-4.8822714,14.5329043,762021,,1er cycle,Public,0,0,,,3) puits non tarrissable,105,107,212,3
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,DOUCOUMBO,KORI KORI 2è C,Kori-Kori,-3.752,14.41,961881,,2ème cycle,Public,0,1,1,4,5) pas de point d'eau,147,89,236,4
MOPTI,MOPTI,SEVARE,MOPTI,KOROMBANA,KORIENTZE 1°C A,Korientze,-3.787,15.39,759017,,1er cycle,Public,0,1,1,6,1) robinet ,240,217,457,6
MOPTI,MOPTI,SEVARE,MOPTI,KOROMBANA,KORIENTZE 1°C B,Korientze,-3.787,15.39,959386,,1er cycle,Public,0,1,0,4,3) puits non tarrissable,211,135,346,7
